,Venue,City,State
356,McDonalds,Tumwater, Washington
357,Other,Silver Spring, Maryland
358,Chipotle Mexican Grill,Los Angeles, California
359,Other,Pittsburgh, Pennsylvania
360,Delta Airlines,Honolulu, Hawaii
361,Burger King,Ocala, Florida
362,Panda Express,Phoenix, Arizona
363,Trader Joe's,Burbank, California
364,Wawa,Langhorne, Pennsylvania
365,Other,Mauldin, South Carolina
366,Panera Bread,Knoxville, TN
367,Panda Express,Henderson, Nevada
368,Arby's,Garland, Texas
369,Other,Johnson City, Tennessee
370,Panda Express,Renton, Washington
371,Other,Little Rock, Arkansas
372,Other,Santa Fe, New Mexico
373,Popeyes,Fairfax, Virginia
374,Shari's,Meridian, Idaho
375,Subway,Ormond Beach, Florida
376,Costco,Red Deer, Alberta
377,Shake Shack,Detroit, Michigan
378,Charleys Philly Steaks,Columbus, Ohio
379,Wendy's,Greenwood Village, Colorado
380,Subway,Hamilton, Ontario
381,Long John Silver's,Stillwater, Oklahoma
382,A&amp;W,Monroe, Michigan
383,Other,Wichita, Kansas
384,Whole Foods Market,Jericho, New York
385,Burger King,Quincy, Massachusetts
386,Other,Rohnert Park, California
387,Other,, 
388,Subway,Stanhope Gardens, New South Wales
389,Sweetgreen,Philadelphia, Pennsylvania
390,Applebee's,Baldwin, New York
391,Cracker Barrel,Dickson, Tennessee
392,Taco Bell,Chandler, Arizona
393,Other,, New York
394,IHOP,Northglenn, Colorado
395,Chipotle Mexican Grill,Hillsboro, Oregon
396,Popeyes,Toronto, Ontario
397,Domino's Pizza,Louisville, Kentucky
398,Chipotle Mexican Grill,Woodbridge, Virginia
399,Raising Canes,Glendale, Arizona
400,The Cheesecake Factory,Austin, Texas
401,Dunkin donuts,Chicago, Illinois
402,Chipotle Mexican Grill,Wilmington, North Carolina
403,Chick-Fil-A,Irving, Texas
404,Costco,Frederick, Maryland
405,Zaxby's,Commerce, Georgia
406,Domino's Pizza,Kalamazoo, Michigan
407,Subway,Mondovi, Wisconsin
408,Domino's Pizza,Warrensburg, Missouri
409,Other,Ann Arbor, Michigan
410,Whataburger,Katy, Texas
411,Pret a Manger,Chicago, Illinois
412,Dunkin donuts,Smyrna, Georgia
413,KFC,, County Limerick
414,Subway,London, Ontario
415,Bob Evans,Chillicothe, Ohio
416,Other,Los Angeles, California
417,McDonalds,Bergenfield, New Jersey
418,Safeway,Keizer, Oregon
419,Costco,Gilbert, Arizona
420,Other,Detroit, Michigan
421,Arby's,Warner Robins, Georgia
422,Wendy's,St. Catharines, Ontario
423,Denny's,Orlando, Florida
424,KFC,, Scotland
425,Other,Cape Town, Western Cape
426,Wendy's,Chicago, Illinois
427,Qdoba,Creve Coeur, Missouri
428,Taco Bell,Kirksville, Missouri
429,Popeyes,Pelham, Alabama
430,KFC,Marion, Iowa
431,Chipotle Mexican Grill,Goleta, California
432,Greggs,, England
433,Dairy Queen,Wichita, Kansas
434,Chipotle Mexican Grill,Seattle, Washington
435,Subway,Miami, Florida
436,Olive Garden,Pensacola, Florida
437,Wendy's,Hadley, Massachusetts
438,Other,Fairlawn, Ohio
439,KFC,, Vermont
440,Subway,Baldwin, Michigan
441,Chipotle Mexican Grill,Lake Oswego, Oregon
442,Jack in the Box,Modesto, California
443,Jack in the Box,Modesto, California
444,The Cheesecake Factory,Happy Valley, Oregon
445,Buffalo wild wings,Fishers, Indiana
446,Starbucks,Denver, Colorado
447,Dunkin donuts,Huntersville, North Carolina
448,Little Caesars Pizza,Davison, Michigan
449,Sonic,Chandler, Oklahoma
450,Olive Garden,Vestal, New York
451,McDonalds,Fuquay Varina, North Carolina
452,McDonalds,Birmingham, Alabama
453,Subway,Neenah, Wisconsin
454,Other,, England
455,McDonalds,Auburndale, Florida
456,Five Guys,Cary, North Carolina
457,Subway,, England
458,McDonalds,Midland, Ontario
459,Wendy's,Chula Vista, California
